fid,OBJECTID,Street,SAFStreetName,FeatureTyp,SegmentTyp,IncExFlag,RB_Layer,NonPed,TrafDir,TrafSrc,SpecAddr,FaceCode,SeqNum,StreetCode,SAFStreetCode,LGC1,LGC2,LGC3,LGC4,LGC5,LGC6,LGC7,LGC8,LGC9,BOE_LGC,SegmentID,SegCount,LocStatus,LZip,RZip,LBoro,RBoro,L_CD,R_CD,LATOMICPOLYGON,RATOMICPOLYGON,LCT2020,LCT2020Suf,RCT2020,RCT2020Suf,LCB2020,LCB2020Suf,RCB2020,RCB2020Suf,LCT2010,LCT2010Suf,RCT2010,RCT2010Suf,LCB2010,LCB2010Suf,RCB2010,RCB2010Suf,LCT2000,LCT2000Suf,RCT2000,RCT2000Suf,LCB2000,LCB2000Suf,RCB2000,RCB2000Suf,LCT1990,LCT1990Suf,RCT1990,RCT1990Suf,LAssmDist,LElectDist,RAssmDist,RElectDist,SplitElect,LSchlDist,RSchlDist,SplitSchl,LSubSect,RSubSect,SanDistInd,MapFrom,MapTo,BoroBndry,MH_RI_Flag,XFrom,YFrom,XTo,YTo,ArcCenterX,ArcCenterY,CurveFlag,Radius,NodeIDFrom,NodeIDTo,NodeLevelF,NodeLevelT,ConParity,Twisted,RW_TYPE,PhysicalID,GenericID,NYPDID,FDNYID,LBlockFaceID,RBlockFaceID,LegacyID,Status,StreetWidth_Min,StreetWidth_Max,StreetWidth_Irr,BikeLane,BIKE_TRAFDIR,ACTIVE_FLAG,POSTED_SPEED,Snow_Priority,Number_Travel_Lanes,Number_Park_Lanes,Number_Total_Lanes,Carto_Display_Level,FCC,ROW_Type,LLo_Hyphen,LHi_Hyphen,RLo_Hyphen,RHi_Hyphen,FromLeft,ToLeft,FromRight,ToRight,Join_ID,L_PD_Service_Area,R_PD_Service_Area,TRUCK_ROUTE_TYPE,SHAPE_Length
"1","130409",ROOSEVELT AVENUE,                                ,"0",U, ,B, ,T,DOT, ,"4036","00050","461090",      ,"01",  ,  ,  ,  ,  ,  ,  ,  ,"1","0068054","1", ,"11377","11377","4","4","402","402","103","309"," 251",  ," 251",  ,"4002", ,"3003", ," 251",  ," 251",  ,"4002", ,"3003", ," 251",  ," 251",  ,"1005", ,"3002", ," 251",  ," 251",  ,"37","036","37","030", ,"30","30",,2C,2C, ,9D ,9D , , ,"1008771","210520","1009038","210624","0","0", ,"0","0041818","0041879",M,M, , ," 1","9396","8038",       ,       ,"0102265411","0102267781","0068054","2",40,48, ,  ,  ,,"25",C," 2"," 2"," 4",,  , , 53-001, 53-099, 53-000, 53-098,"53001","53099","53000","53098","4403601000000", , ,"2",286.645007490783
"2","130429",QUEENS BOULEVARD,                                ,"0",G, ,G, ,T,DOT, ,"3894","03040","459990",      ,"01","29",  ,  ,  ,  ,  ,  ,  ,"1","0172487","1",X,"11377","11377","4","4","402","402","304","916"," 251",  ," 251",  ,"3005", ,"3005", ," 251",  ," 229",  ,"3002", ,"1000", ," 251",  ," 229",  ,"3001", ,"1000", ," 251",  ," 229",  ,"37","030","37","030", ,"30","24",,2C,2C, ,9D ,9D , , ,"1008983","209707","1009146","209682","0","0", ,"0","0087767","0041262",*,*, , ," 1",,"10252",       ,       ,          ,          ,"0172487","2",,, ,  ,  ,,  ,C,  ,  ,  ,"10",  , , 54-005, 54-099, 54-006, 54-098,"54005","54099","54006","54098","4389401290000", , , ,164.912964925868
"3","131124",BROOKLYN QUEENS EXPRESSWAY EAST,                                ,"0",G, ,G,V,T,DCP, ,"1442","00069","437395",      ,"07","01",  ,  ,  ,  ,  ,  ,  ,"1","0175232","1",X,"11377","11377","4","4","401","401","135","205"," 297",  ," 297",  ,"2000", ,"2000", ," 309","02"," 297",  ,"3005", ,"2000", ," 309","02"," 297",  ,"2005", ,"2018", ," 309","02"," 297",  ,"30","046","30","046", ,"30","30",,1E,5D, ,9D ,9D , , ,"1012030","214921","1012066","214810","1013251","215250",R,"1264","0046394","0046397",*,*, , ," 3",,"22700",       ,       ,          ,          ,"0175232","2",,, ,  ,  ,,  ,C,  ,  ,  ,"10",  , ,,,,,"0","0","0","0","4144207010000", , , ,117.244805865221
"4","131277",BROOKLYN QUEENS EXPRESSWAY WEST,                                ,"0",G, ,G,V,T,DOT, ,"1444","00050","437395",      ,"08","01","18",  ,  ,  ,  ,  ,  ,"1","0075670","1",X,"11377","11377","4","4","401","401","134","127"," 297",  ," 297",  ,"1006", ,"1006", ," 299",  ," 297",  ,"1002", ,"1003", ," 299",  ," 297",  ,"1002", ,"1003", ," 299",  ," 297",  ,"34","025","34","025", ,"30","30",,5E,5E, ,9C ,9C , , ,"1011185","217594","1011328","217144","0","0", ,"0","0046330","0046332",*,*, , ," 2",,"22759",       ,       ,          ,          ,"0075670","2",,, ,  ,  ,,  ,C,  ,  ,  ,"10",  , ,,,,,"0","0","0","0","4144408011800", , , ,472.289683453942
"5","131298",QUEENS BOULEVARD,                                ,"0",G, ,G, ,T,DOT, ,"3894","03220","459990",      ,"01",  ,  ,  ,  ,  ,  ,  ,  ,"1","0074093","1",X,"11377","11377","4","4","402","402","219","130"," 243",  ," 243",  ,"4000", ,"4000", ," 483",  ," 243",  ,"2007", ,"4000", ," 483",  ," 243",  ,"2011", ,"1000", ," 483",  ," 243",  ,"30","025","30","016", ,"24","24",,1D,1E, ,9D ,9D , , ,"1012875","209051","1013111","208995","0","0", ,"0","0045403","0045500",*,*, , ," 1",,"10270",       ,       ,          ,          ,"0074093","2",,, ,  ,  ,,  ,C,  ,  ,  ,"10",  , , 68-001, 68-099, 68-000, 68-098,"68001","68099","68000","68098","4389401000000", , , ,243.073108998067
"6","131327",ROOSEVELT AVENUE,                                ,"0",U, ,B, ,T,DOT, ,"4036","00200","461090",      ,"01",  ,  ,  ,  ,  ,  ,  ,  ,"1","0075721","1", ,"11377","11377","4","4","402","402","111","209"," 263",  ," 263",  ,"1008", ,"2003", ," 263",  ," 263",  ,"1007", ,"2003", ," 263",  ," 263",  ,"1008", ,"2004", ," 263",  ," 263",  ,"30","054","30","024", ,"30","24",,1D,1D, ,9D ,9D , , ,"1012483","211134","1012728","211168","0","0", ,"0","0046358","0046363",M,M, , ," 1","9379","8021",       ,       ,"0092265290","0092263546","0075721","2",45,45, ,  ,  ,,"25",C," 2"," 2"," 4",,  , , 65-027, 67-021, 67-000, 67-098,"65027","67021","67000","67098","4403601000000", , ,"2",247.761487887155
"7","131332",ROOSEVELT AVENUE,                                ,"0",U, ,B, ,T,DOT, ,"4036","00220","461090",      ,"01",  ,  ,  ,  ,  ,  ,  ,  ,"1","0075734","1", ,"11377","11377","4","4","402","402","112","218"," 263",  ," 263",  ,"1007", ,"2001", ," 263",  ," 263",  ,"1006", ,"2001", ," 263",  ," 263",  ,"1009", ,"2002", ," 263",  ," 263",  ,"30","054","30","024", ,"30","24",,1D,1D, ,9D ,9D , , ,"1012977","211203","1013228","211238","0","0", ,"0","0046365","0046453",M,M, , ," 1","9377","8019",       ,       ,"0092266695","0092264452","0075734","2",45,46, ,  ,  ,,"25",C," 2"," 2"," 4",,  , , 69-001, 69-099, 69-000, 69-098,"69001","69099","69000","69098","4403601000000", , ,"2",252.867603802762
"8","131550",BROOKLYN QUEENS EXPRESSWAY WEST,                                ,"0",G, ,G,V,T,DCP, ,"1444","00020","437395",      ,"08","01","18",  ,  ,  ,  ,  ,  ,"1","0175112","1", ,"11377","11377","4","4","401","401","119","109"," 141",  ," 141",  ,"2003", ,"2003", ," 141",  ," 141",  ,"2002", ,"2003", ," 299",  ," 141",  ,"1003", ,"1000", ," 299",  ," 141",  ,"34","017","34","017", ,"30","30",,5E,5E, ,9C ,9C , , ,"1010869","218569","1010930","218385","0","0", ,"0","0099371","0046237",*,*, , ," 2",,"22761",       ,       ,          ,          ,"0175112","2",,, ,  ,  ,,  ,C,  ,  ,  ,"10",  , ,,,,,"0","0","0","0","4144408011800", , , ,194.438310347242
"9","131809",WOODSIDE AVENUE,                                ,"0",U, ,B, ,A,DOT, ,"5100","00100","468290",      ,"01",  ,  ,  ,  ,  ,  ,  ,  ,"1","0068188","1",X,"11377","11377","4","4","402","402","115","112"," 255",  ," 251",  ,"1014", ,"1001", ," 255",  ," 251",  ,"1015", ,"1001", ," 255",  ," 251",  ,"1015", ,"1002", ," 255",  ," 251",  ,"30","044","37","036", ,"30","30",,2C,2C, ,9D ,9D , , ,"1009210","211720","1009311","211586","0","0", ,"0","0041892","0041893",M,M, , ," 1","30342","26135",       ,       ,"0102267744","0102262217","0068188","2",30,30, ,  ,  ,,"20",C," 1"," 2"," 3",,  , , 53-021, 53-099, 53-040, 53-098,"53021","53099","53040","53098","4510001000000", , , ,168.329568642917
"10","131814",ROOSEVELT AVENUE,                                ,"0",U, ,B, ,T,DOT, ,"4036","00100","461090",      ,"01",  ,  ,  ,  ,  ,  ,  ,  ,"1","0109429","1", ,"11377","11377","4","4","402","402","107","201"," 251",  ," 251",  ,"1004", ,"2000", ," 251",  ," 251",  ,"1005", ,"2000", ," 251",  ," 251",  ,"1000", ,"2000", ," 251",  ," 251",  ,"30","049","30","020", ,"30","30",,2C,2C, ,9D ,9D , , ,"1009875","210826","1010127","210857","1010083","210172",L,"687","0065398","0046155",M,M, , ," 1","9391","8033",       ,       ,"0102261412","0102262774","0109429","2",40,42, ,  ,  ,,"25",C," 2"," 2"," 4",,  , , 57-001, 57-099, 57-000, 57-098,"57001","57099","57000","57098","4403601000000", , ,"2",255.270542295659
