fid,tree_id,block_id,created_at,tree_dbh,stump_diam,curb_loc,status,health,spc_latin,spc_common,steward,guards,sidewalk,user_type,problems,root_stone,root_grate,root_other,trunk_wire,trnk_light,trnk_other,brch_light,brch_shoe,brch_other,address,postcode,zip_city,community board,borocode,borough,cncldist,st_assem,st_senate,nta,nta_name,boro_ct,state,latitude,longitude,x_sp,y_sp,council district,census tract,bin,bbl
"1249","208280","300409",09/07/2015,"12","0",OnCurb,Alive,Good,Zelkova serrata,Japanese zelkova,None,None,NoDamage,Volunteer,None,false,false,false,false,false,false,false,false,false,32-013 54 STREET,"11377",Woodside,"401","4",Queens,"26","30","13",QN63,Woodside,"4029500",New York,40.75496948,-73.90693299,1010034.415,214346.1265,"26","295","4026027","4011560081"
"1550","208277","300409",09/07/2015,"13","0",OnCurb,Alive,Good,Zelkova serrata,Japanese zelkova,None,None,Damage,Volunteer,None,false,false,false,false,false,false,false,false,false,32-027 54 STREET,"11377",Woodside,"401","4",Queens,"26","30","13",QN63,Woodside,"4029500",New York,40.75463666,-73.90687272,1010051.241,214224.8885,"26","295","4026020","4011560073"
"1551","208278","300409",09/07/2015,"6","0",OnCurb,Alive,Good,Zelkova serrata,Japanese zelkova,None,None,NoDamage,Volunteer,None,false,false,false,false,false,false,false,false,false,32-019 54 STREET,"11377",Woodside,"401","4",Queens,"26","30","13",QN63,Woodside,"4029500",New York,40.75484196,-73.9069099,1010040.862,214299.6718,"26","295","4026024","4011560077"
"1669","208282","300409",09/07/2015,"6","0",OnCurb,Alive,Good,Quercus palustris,pin oak,None,None,NoDamage,Volunteer,BranchOther,false,false,false,false,false,false,false,false,true,32-011 54 STREET,"11377",Woodside,"401","4",Queens,"26","30","13",QN63,Woodside,"4029500",New York,40.75514894,-73.90696549,1010025.342,214411.5,"26","295","4026028","4011560082"
"1699","195318","303870",09/01/2015,"11","0",OnCurb,Alive,Good,Fraxinus pennsylvanica,green ash,None,None,NoDamage,TreesCount Staff,None,false,false,false,false,false,false,false,false,false,53-030 SKILLMAN AVENUE,"11377",Woodside,"402","4",Queens,"26","30","12",QN63,Woodside,"4025100",New York,40.74565595,-73.91081581,1008962.127,210951.7904,"26","251","4030820","4013160057"
"2171","195319","303870",09/01/2015,"9","0",OnCurb,Alive,Good,Fraxinus pennsylvanica,green ash,None,None,NoDamage,TreesCount Staff,None,false,false,false,false,false,false,false,false,false,53-030 SKILLMAN AVENUE,"11377",Woodside,"402","4",Queens,"26","30","12",QN63,Woodside,"4025100",New York,40.74563435,-73.91062775,1009014.244,210943.9735,"26","251","4030820","4013160057"
"3620","208316","300399",09/07/2015,"20","0",OnCurb,Alive,Good,Zelkova serrata,Japanese zelkova,None,None,NoDamage,Volunteer,None,false,false,false,false,false,false,false,false,false,53-001 32 AVENUE,"11377",Woodside,"401","4",Queens,"26","30","13",QN63,Woodside,"4029500",New York,40.75542352,-73.9077752,1009800.905,214511.3013,"26","295","4025172","4011310001"
"3818","195316","303870",09/01/2015,"4","0",OnCurb,Alive,Good,Gymnocladus dioicus,Kentucky coffeetree,3or4,Helpful,NoDamage,TreesCount Staff,None,false,false,false,false,false,false,false,false,false,53-006 SKILLMAN AVENUE,"11377",Woodside,"402","4",Queens,"26","30","12",QN63,Woodside,"4025100",New York,40.74568653,-73.91108201,1008888.353,210962.8557,"26","251","4030819","4013160054"
"5016","195519","303529",09/01/2015,"7","0",OnCurb,Alive,Good,Platanus x acerifolia,London planetree,None,None,NoDamage,TreesCount Staff,None,false,false,false,false,false,false,false,false,false,55-001 QUEENS BOULEVARD,"11377",Woodside,"402","4",Queens,"26","30","12",QN63,Woodside,"4025100",New York,40.74239988,-73.90923386,1009401.698,209765.9493,"26","251","4030990","4013250001"
"5052","195373","304014",09/01/2015,"6","0",OnCurb,Alive,Fair,Fraxinus pennsylvanica,green ash,None,None,NoDamage,TreesCount Staff,None,false,false,false,false,false,false,false,false,false,54-006 SKILLMAN AVENUE,"11377",Woodside,"402","4",Queens,"26","30","12",QN63,Woodside,"4025100",New York,40.74552298,-73.91007818,1009166.566,210903.5536,"26","251","4030846","4013170081"
